nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       102, 2.000437975E+00, 2.020737231E-01, 5.000000000E-01,-5.114978552E-02, 1.821335778E-02, 1.802121551E-05
       103, 1.200004768E+01, 2.023444027E-01, 5.000000000E-01,-5.126405358E-01, 1.319837524E-03, 5.382709903E-12
       104, 1.119970608E+01, 2.024141550E-01, 5.000000000E-01,-5.069676042E-01, 1.345331315E-03, 2.157428056E-11
       105, 1.180005074E+01, 2.025479078E-01, 5.000000000E-01,-5.111728311E-01, 1.413545571E-03, 8.805676674E-12
       106, 2.200309038E+00, 2.025706321E-01, 5.000000000E-01,-6.612236798E-02, 1.018815767E-02, 1.947077908E-05
       107, 1.139975166E+01, 2.025707662E-01, 5.000000000E-01,-5.083041191E-01, 1.399426605E-03, 1.668482713E-11
       108, 2.400086880E+00, 2.025808096E-01, 5.000000000E-01,-7.805848122E-02, 5.981575232E-03, 1.877510294E-05
       109, 1.159999943E+01, 2.025970072E-01, 5.000000000E-01,-5.097097158E-01, 1.429463271E-03, 1.252405991E-11
       110, 3.999895334E+00, 2.026010603E-01, 5.000000000E-01,-2.801634669E-01, 3.019450419E-02, 3.210763211E-09
       111, 1.079973793E+01, 2.026494741E-01, 5.000000000E-01,-5.045959353E-01, 1.220217557E-03, 3.478556679E-11
       112, 8.999946594E+00, 2.026992440E-01, 5.000000000E-01,-4.953786731E-01, 1.419681357E-03, 2.793512088E-10
       113, 8.800268173E+00, 2.026997656E-01, 5.000000000E-01,-4.942176938E-01, 1.545844367E-03, 3.430599971E-10
       114, 6.600299358E+00, 2.027156502E-01, 5.000000000E-01,-4.672815800E-01, 6.226873025E-03, 1.816845230E-09
       115, 6.400197029E+00, 2.027191222E-01, 5.000000000E-01,-4.619045854E-01, 7.253839169E-03, 2.021673273E-09
       116, 3.199899435E+00, 2.027425766E-01, 5.000000000E-01,-1.603019983E-01, 2.522151172E-02, 2.363561407E-06
       117, 3.399841309E+00, 2.027461231E-01, 5.000000000E-01,-1.925245970E-01, 2.922973782E-02, 3.765119345E-07
       118, 6.199871063E+00, 2.027470171E-01, 5.000000000E-01,-4.555990994E-01, 8.448047563E-03, 2.213509598E-09
       119, 6.800399303E+00, 2.027508318E-01, 5.000000000E-01,-4.718310237E-01, 5.355462898E-03, 1.647581183E-09
